State,Delta,Theta,Alpha,Beta,Gamma
Baseline,6224.21,10252.31,6396.77,11855.40,261106.60
Baseline,7426.91,4492.60,6610.47,11149.01,246779.81
Baseline,3370.58,8006.90,3220.28,9837.65,249595.49
Baseline,7202.63,7232.73,3318.74,14408.08,256978.78
Baseline,4421.99,8668.67,8195.89,14880.74,259681.89
Baseline,6805.26,4829.10,7647.90,13541.97,253743.26
Baseline,2857.32,9112.04,6647.69,13368.16,264471.45
Baseline,8680.49,5916.39,4849.52,10688.26,259131.61
Baseline,5400.37,8281.84,4671.52,12896.10,241090.56
Baseline,15361.45,8969.28,6759.06,12408.94,261752.36
Baseline,3482.45,12491.77,10467.73,21119.01,270942.76
Baseline,1801.21,10304.73,6302.42,17074.55,254839.82
Baseline,9293.42,10293.08,6085.96,12893.42,265359.02
Baseline,20588.20,14253.01,11272.23,35937.76,281268.30
